,exp,edu,hab,v_tit,v_desc,sim
0,"Data Scientist,Data Scientist | Analytical Presales,Data Scientist | Analytical Presales,Data Scientist | Business Intelligence Consultant,Software Developer,Business Intelligence Analyst,Business Intelligence Analyst,IT Infrastructure Intern",Tecnologia em Banco de Dados,"Microsoft SQL Server,C#,MySQL,SAS,Relatório Crystal,JavaScript,Transact-SQL,Data Mining,T-SQL,Analytics,Data Warehouse,PDW,PL/SQL,SSIS,SSAS,SSRS,Crystal Reports,SQL",Software Engineer," Use open source technology, scrum, design sprints, squads and agile development Develop solutions to help consumers in the loan application process. Develop high quality code and to work in multi-disciplinary high- performance teams., Experience with back-end, Ruby skills, Unit, integration and acceptance testing, API design with JSON API spec, Object Oriented Design, Domain Driven Design (DDD), Refactoring Techniques, Messaging (Sidekiq, RabbitMQ), Git. Desirable experience with other programming languages, integrating with Ember or another SPA framework, infra provisioning (Ansible), Devops, Vanilla Javascript.",0.807
1,the same,the same,the same,Programador Back-end - Sênior," Design, architect and implement high-traffic, large-scale web APIs. Build infrastructure on top of AWS services: DynamoDB, RDS, SQS, ElastiCache, ElasticSearch, SNS, Route 53, CodeDeploy, CloudFormation., Trong experience developing data driven web applications (including knowledge in web servers, load balancing, caching, databases, replication, etc.)Strong understanding of object-oriented design and software development principles Excellent problem solving, analytic skills, excellent written and verbal communications skills You know how and where to store large amounts of data using SQL (MySql) and NoSQL (Redis, DynamoDB) databases. Git experience. Strong CS fundamentals Mastery of at least one object oriented language (Java, C#, C++, Ruby, Python). Experience working with Java RESTful frameworks and related tools. Cloud development/deployment/management (preferable AWS) Strong handle on the TCP and HTTP stack, request batching, request optimization, sockets and DNS. Experience working with systems engineering. Experience doing full stack development Experience scaling and monitoring systems on AWS. Experience with Java Experience with dynamic languages (Python, Ruby, Javascript). Experience automating systems orchestration with Ansible and CloudFormation, or similar technology. Familiarity of working on large-scale, high volume applications. DevOps Tools (Jenkins, Chef, Vagrant, Docker) , Graduação em andamento ou completa.",0.8042
2,the same,the same,the same,Xamarin .NET / Mobile Developer," Act with simple animation, push notifications from the server, API connections and setup, and issue resolution. Work with current staff and assist in all deployment aspects. Work independently (including own access to software and hardware required) while communicating and collaborating with the team., Expertise in .Net C# development with Visual Studio, Xamarin, Android, iOS, Custom controls, Simple Animation, MVC, Entity Framework, SQL Server, Push Notifications, Restful APIs, Azure, Mobil App Services, API Management Services, Authentication using a custom data store / tokens, Setup and Publishing to the PlayStore and AppStore. Knowledge sharing and good communication skills are a must.",0.7968
3,the same,the same,the same,Desenvolvedor Android - Sênior," Will work with people with multidisciplinary skills (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our user., Must have experience in Java or Kotlin Language, developing and designing advanced applications on the Android platform, GIT, we work with pull request, promoting a constant code-review, Agile methodologies (XP and Scrum). Experience with REST APIs and other external data sources, material design, Android Support Library. Proven mobile development. Work with different device dimensions (tablet, cell phone, etc). General knowledge of the mobile environment, such as architectures, standards, trends and emerging technologies. Familiar with the process of submitting apps to the Play Store. Nice if you have experience in continuous integration / continuous deploy (Travis). Experience with unit tests / automated UI tests, Fetch GraphQL APIs Google Analytics, React Native e iOS - Swift or Objective-c.",0.7966
4,the same,the same,the same,Desenvolvedor Java Pleno," Atuar com Java 8, spring boot, MyBatis, gradle, spring MVC, jersey, GIT. Functional Programming, functional programming design patterns, APIs, design de APIs, testes de software (Unit tests, Contract tests, Intergration tests). MicroServices/ SOA , jenkins para integração contínua, métodos ágil.",0.7924
5,the same,the same,the same,Desenvolvedor Front-end," Developing a global platform. (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our users. Maintenance and testing., Experience SPA (Angular, React, BackBone), HTML5, CSS3, Modern JavaScript ES6+, Webpack/Browserify, GIT, Responsive Layout, Good practices and front- end pattern knowledge, Advanced English, B.S., M.S., or PhD. React, React Native, Redux, Apollo/Relay, Flexbox e GraphQL. Some functional programming knowledge Python/Ruby/Java/Scala.",0.79
6,the same,the same,the same,Front-End Developer," Use existing internal APIs and help develop new APIs to interact with the eShares back end services. Work closely with our full stack and backend engineers during feature development. Work closely with designers and product managers to help design front end products. Teach existing engineers best practices using modern JavaScript. Build reusable React components for use in your projects as well as company-wide projects. Build testing infrastructure to test front end code and React components., JavaScript frameworks/libraries like React or Angular.js. Very strong HTML5, CSS3, and JavaScript (ES6/ES7) skills. Strong communication skills. Comfortable regularly working in team environments. BS or MS in Computer Science or equivalent. Knowledge in React, Knockout.js, Sass, Python/Django, Postgres, Celery.",0.7873
7,the same,the same,the same,Microsoft CRM Developer," Basic knowledge of the Microsoft .NET platform. Some experience in software development., Basic knowledge of the Microsoft .NET platform. Some experience in software development. Intermediate level in English conversation., Experience with Microsoft CRM Dynamics or other CRM platforms. Knowledge of database fundamentals and SQL Server.",0.7861
8,the same,the same,the same,WCS App Developer," WebSphere commerce suite (WCS) Developer will utilize the following skills: Hands-on experience with utilizing various sub systems of Websphere Commerce Server i.e Catalog, Order, Member etc; The developer will work both on back end and forward facing elements of sites so experience with JavaScript, DOJO, jQuery, CSS or other front end technologies. Required skills: - Senior Programming logic and Object Oriented Programming - WebSphere Commerce Suite Java/J2EE specific development experience - Javascript - Struts - EJB, JPA, JDBC - Servlets e Ajax - JSTL - Candidate must also have experience with writing SQL queries preferably for DB2. - WCS Integrations (XML, Web Services, Rest Services, WebSphere MQ and other integration solutions) - DOJO - HTML5 Nice to have skills: - Advanced English - Responsive web design - CSS - DynaCache modeling and configuration. - JQuery - DB2 - Linux - Websphere MQ - Build Tools: Jenkins/ Ant/ WebSphere Commerce Build and Deploy, Experience senior Programming logic and Object Oriented Programming, WebSphere Commerce Suite, Java/J2EE specific development experience, JavaScript, Struts, EJB, JPA, JDBC, Servlets e Ajax - JSTL. Candidate must also have experience with writing SQL queries preferably for DB2. WCS Integrations (XML, Web Services, Rest Services, WebSphere MQ and other integration solutions), DOJO HTML5, Nice to Have: Responsive web design, CSS, DynaCache modeling and configuration. JQuery, DB2 Linux, Websphere MQ, Build Tools: Jenkins/ Ant/ WebSphere Commerce Build and Deploy e Advanced.",0.7835
9,the same,the same,the same,Developer Unix System Programming," As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. You should have in-depth knowledge of at least one development technology, programming language., Experience. , Ensino Superior., Mandatory Skills Devops Chef Unix Developer Tools, Unix Application Debugging, Unix System Internals, C Programming, Unix Shell Scripting, Perl Programming. Desirable Skills in PL-SQL, Java-J2EE Language.",0.7832
