,exp,edu,hab,v_tit,v_desc,sim
0,"Data Scientist,Data Scientist | Analytical Presales,Data Scientist | Analytical Presales,Data Scientist | Business Intelligence Consultant,Software Developer,Business Intelligence Analyst,Business Intelligence Analyst,IT Infrastructure Intern",Tecnologia em Banco de Dados,"Microsoft SQL Server,C#,MySQL,SAS,Relatório Crystal,JavaScript,Transact-SQL,Data Mining,T-SQL,Analytics,Data Warehouse,PDW,PL/SQL,SSIS,SSAS,SSRS,Crystal Reports,SQL",Arquiteto Oracle Pleno," Atuar como arquiteto de soluções pacote Oracle., Conhecimentos em OSB, BPEL, BAM, OAG, SOA, OTD, WCS, OAM, OEM, BPM, Consultor sênior para as atividades relacionadas a aquisição de dados (integração de dados) e gerenciamento de Dados Mestre (MDM). Database Administration (OLTP and OLAP) Oracle RAC and Oracle Data Guard, Web Servers, WebCenter Portal Framework. Application Servers Administration, Security Administration (LDAP/ SSL), ETL process - Extract, Transform and Load(Oracle ODI), Replication in heterogeneous IT environments (Oracle GoldenGate).",0.7205
1,the same,the same,the same,Developer. NET," Microsoft.NET development in web environments., Experience with Microsoft .NET development in web environments. Experience with web technologies such as JavaScript, HTML5, CSS and JavaScript frameworks. Knowledge of database fundamentals and SQL Server. Intermediate level in English conversation. Experience with marketing projects. Experience with eCommerce projects and tools. ",0.7089
2,the same,the same,the same,Software Engineer," Use open source technology, scrum, design sprints, squads and agile development Develop solutions to help consumers in the loan application process. Develop high quality code and to work in multi-disciplinary high- performance teams., Experience with back-end, Ruby skills, Unit, integration and acceptance testing, API design with JSON API spec, Object Oriented Design, Domain Driven Design (DDD), Refactoring Techniques, Messaging (Sidekiq, RabbitMQ), Git. Desirable experience with other programming languages, integrating with Ember or another SPA framework, infra provisioning (Ansible), Devops, Vanilla Javascript.",0.7012
3,the same,the same,the same,Programador Back-end - Sênior," Design, architect and implement high-traffic, large-scale web APIs. Build infrastructure on top of AWS services: DynamoDB, RDS, SQS, ElastiCache, ElasticSearch, SNS, Route 53, CodeDeploy, CloudFormation., Trong experience developing data driven web applications (including knowledge in web servers, load balancing, caching, databases, replication, etc.)Strong understanding of object-oriented design and software development principles Excellent problem solving, analytic skills, excellent written and verbal communications skills You know how and where to store large amounts of data using SQL (MySql) and NoSQL (Redis, DynamoDB) databases. Git experience. Strong CS fundamentals Mastery of at least one object oriented language (Java, C#, C++, Ruby, Python). Experience working with Java RESTful frameworks and related tools. Cloud development/deployment/management (preferable AWS) Strong handle on the TCP and HTTP stack, request batching, request optimization, sockets and DNS. Experience working with systems engineering. Experience doing full stack development Experience scaling and monitoring systems on AWS. Experience with Java Experience with dynamic languages (Python, Ruby, Javascript). Experience automating systems orchestration with Ansible and CloudFormation, or similar technology. Familiarity of working on large-scale, high volume applications. DevOps Tools (Jenkins, Chef, Vagrant, Docker) , Graduação em andamento ou completa.",0.6983
4,the same,the same,the same,.Net Developer," Atuar com ASP.NET, MVC, JQuery, ODP.NET, Entity framework, WCF and Oracle Data Base., Experience in ASP.NET, MVC, JQuery, ODP.NET, Entity framework, WCF and Oracle Data Base., Intermediate/Advanced English required. Preferred, but not essential: Knowledge of Agile Methodologies.",0.6943
5,the same,the same,the same,Xamarin .NET / Mobile Developer," Act with simple animation, push notifications from the server, API connections and setup, and issue resolution. Work with current staff and assist in all deployment aspects. Work independently (including own access to software and hardware required) while communicating and collaborating with the team., Expertise in .Net C# development with Visual Studio, Xamarin, Android, iOS, Custom controls, Simple Animation, MVC, Entity Framework, SQL Server, Push Notifications, Restful APIs, Azure, Mobil App Services, API Management Services, Authentication using a custom data store / tokens, Setup and Publishing to the PlayStore and AppStore. Knowledge sharing and good communication skills are a must.",0.6941
6,the same,the same,the same,Desenvolvedor Front-end," Developing a global platform. (PO, UX / UI, Developer and QAs) in order to deliver the best experience for our users. Maintenance and testing., Experience SPA (Angular, React, BackBone), HTML5, CSS3, Modern JavaScript ES6+, Webpack/Browserify, GIT, Responsive Layout, Good practices and front- end pattern knowledge, Advanced English, B.S., M.S., or PhD. React, React Native, Redux, Apollo/Relay, Flexbox e GraphQL. Some functional programming knowledge Python/Ruby/Java/Scala.",0.6938
7,the same,the same,the same,Desenvolvedor Java," Atuar com Java. Maven. Databases (SQL Server). Tomcat. Eclipse. Unit testing. Distributed version control., Java certification. Javascript (NodeJS, ReactJS, Redux, AngularJs, SQL - Server/MySQL). Swing.",0.6855
8,the same,the same,the same,WCS App Developer," WebSphere commerce suite (WCS) Developer will utilize the following skills: Hands-on experience with utilizing various sub systems of Websphere Commerce Server i.e Catalog, Order, Member etc; The developer will work both on back end and forward facing elements of sites so experience with JavaScript, DOJO, jQuery, CSS or other front end technologies. Required skills: - Senior Programming logic and Object Oriented Programming - WebSphere Commerce Suite Java/J2EE specific development experience - Javascript - Struts - EJB, JPA, JDBC - Servlets e Ajax - JSTL - Candidate must also have experience with writing SQL queries preferably for DB2. - WCS Integrations (XML, Web Services, Rest Services, WebSphere MQ and other integration solutions) - DOJO - HTML5 Nice to have skills: - Advanced English - Responsive web design - CSS - DynaCache modeling and configuration. - JQuery - DB2 - Linux - Websphere MQ - Build Tools: Jenkins/ Ant/ WebSphere Commerce Build and Deploy, Experience senior Programming logic and Object Oriented Programming, WebSphere Commerce Suite, Java/J2EE specific development experience, JavaScript, Struts, EJB, JPA, JDBC, Servlets e Ajax - JSTL. Candidate must also have experience with writing SQL queries preferably for DB2. WCS Integrations (XML, Web Services, Rest Services, WebSphere MQ and other integration solutions), DOJO HTML5, Nice to Have: Responsive web design, CSS, DynaCache modeling and configuration. JQuery, DB2 Linux, Websphere MQ, Build Tools: Jenkins/ Ant/ WebSphere Commerce Build and Deploy e Advanced.",0.6847
9,the same,the same,the same,Automation Developer," Atuar com with MTM, Webdriver e C# or Java developer., Experience with MTM. Experienced C# or Java developer. , Knowledge of Selenium / Webdriver, Knowledge of software testing concepts. Intermediate/Advanced English required.",0.6845
