,exp,edu,hab,v_tit,v_desc,sim
0,"Data Scientist,Data Scientist | Analytical Presales,Data Scientist | Analytical Presales,Data Scientist | Business Intelligence Consultant,Software Developer,Business Intelligence Analyst,Business Intelligence Analyst,IT Infrastructure Intern",Tecnologia em Banco de Dados,"Microsoft SQL Server,C#,MySQL,SAS,Relatório Crystal,JavaScript,Transact-SQL,Data Mining,T-SQL,Analytics,Data Warehouse,PDW,PL/SQL,SSIS,SSAS,SSRS,Crystal Reports,SQL",Analista de Business Intelligence Pleno," Analisar e desenvolver demandas de soluções de Business Intelligence. Construir / manter a arquitetura necessária, desde a modelagem dos dados, criação de ETLs e apoio na construção de cubos, dashboards, planilhas ou relatórios analíticos. Entender as necessidades do cliente, construindo soluções adequadas para aumentar a visibilidade e agilizar o fluxo das informações dos clientes. Buscar a melhoria contínua dos processos, através do controle, da documentação e da utilização de boas práticas de desenvolvimento e verificação das rotinas operacionais realizando a otimização no uso dos recursos disponíveis., Experiência em modelagem dimensional e modelagem de dados Star Schema. Domínio das ferramentas Microsoft SQL Server Integration Services (SSIS) e SQL Server, Analysis Services (SSAS). Experiência em Microstrategy. Experiência em programação Orientada a Objetos de snippets com .NET (C# / VB.Net). Data Warehouse / Data Mart / Modelagem Dimensional. Superior completo em Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou áreas em comum. Desejável certificação em alguma das ferramentas acima.",0.3025
1,the same,the same,the same,Analista Júnior de ETL," Desenvolvimento e manutenção de processos de ETL utilizando SSIS (Microsoft SQL Server Integration Services., Experiência em: Modelagem data warehouse., Ensino Superior completo em Ciência da Computação, Sistema de Informação e áreas afins., Processos de carga ETL (extração-transformação- carga) nos bancos Oracle ou SQL Server PL/SQL, Data Manager, PowerCenter, Diferencial: SSIS (Integration Service), Data Tools, DataStage",0.2663
2,the same,the same,the same,Analista de BI Pleno," Analisar e desenvolver demandas de soluções de Business Intelligence. Construindo/mantendo a arquitetura necessária, desde a modelagem dos dados, criação de ETLs e apoio na construção de Cubos, Dashboards, Planilhas ou Relatórios Analíticos. Entender as necessidades do cliente, construindo soluções adequadas para aumentar a visibilidade e agilizar o fluxo das informações dos clientes. Buscar a melhoria contínua dos processos, através do controle, da documentação e da utilização de boas práticas de desenvolvimento e verificação das rotinas operacionais realizando a otimização no uso dos recursos disponíveis., Experiência em modelagem dimensional e modelagem de dados Star Schema. , Ensino Superior completo em Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou áreas em comum., Domínio das ferramentas Microsoft SQL Server Integration Services(SSIS) e SQL Server Analysis Services(SSAS) Experiência em Microstrategy. Experiência em programação Orientada a Objetos de snippets com .NET (C# / VB.Net). Data Warehouse / Data Mart / Modelagem Dimensional. Desejável certificação em alguma das ferramentas acima.",0.2658
3,the same,the same,the same,Analista de Business Intelligence Pleno - Microstrategy," Analisar e desenvolver demandas de soluções de Business Intelligence, construindo/mantendo a arquitetura necessária, desde a modelagem dos dados, criação de ETLs e apoio na construção de cubos, Dashboards, planilhas ou relatórios analíticos. Entender as necessidades do cliente, construindo soluções adequadas para aumentar a visibilidade e agilizar o fluxo das informações dos clientes. Buscar a melhoria contínua dos processos, através do controle, da documentação e da utilização de boas práticas de desenvolvimento e verificação das rotinas operacionais realizando a otimização no uso dos recursos disponíveis., Experiência em modelagem dimensional e modelagem de dados Star Schema. Experiência em programação Orientada a Objetos de snippets com .NET (C# / VB.Net). Data Warehouse / Data Mart / modelagem dimensional. , Ensino Superior completo em Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou áreas em comum., Domínio das ferramentas Microsoft SQL Server Integration Services(SSIS) e SQL Server Analysis Services(SSAS). Desejável certificação em alguma das ferramentas acima.",0.2636
4,the same,the same,the same,Analista de ETL e Banco de Dados Júnior / Pleno," Administra banco de dados, envolvendo manutenção e implementação de processos., Experiência com ETL (podendo ser com Power Center, Data Stage, Integrayion Servicer, Pentaho ou linguagem de qualquer banco de dados). Experiência em Slq ansi ou Sql (Sqlserver,Oracle,Teradata). Experiência com modelagem relacional e Dimensional., Conhecimento em SAS ou Big Data (Hadoop, Hive Sql) ou Microsoft SQL server suite (SSIS, SSAS, SSRS).",0.2333
5,the same,the same,the same,Analista de Business Intelligence Sênior," Análise e levantamento de requisitos com as áreas de negócio. Criação de KPIs para acompanhamento de Performance/Processos. Criação de processos de ETL para automatizar cargas no datawarehouse. Realização de estudos e suporte de informações para as áreas comercial, técnica, operações, sinistros e financeiro. Construção de Dashboards. Automação de processos de input de dados para ferramentas de precificação., Experiência em banco de dados (SQL Server, Oracle (PL/SQL) e Access, experiência em projetos de BI utilizando as ferramentas da Microsoft (SSAS, SSIS, SSRS, Power BI) e Tableau. Uso avançado do pacote MS Office, Excel, PowerPoint, C., Tecnologia da Informação, Administração, Estatística e afins.",0.2115
6,the same,the same,the same,Analista de Business Intelligence," Analisar e desenvolver demandas de soluções de Business Intelligence. Construir / manter a arquitetura necessária, desde a modelagem dos dados, criação de ETLs e apoio na construção de cubos, dashboards, planilhas ou relatórios analíticos. Entender as necessidades do cliente, construindo soluções adequadas para aumentar a visibilidade e agilizar o fluxo das informações dos clientes. Buscar a melhoria contínua dos processos, através do controle, da documentação e da utilização de boas práticas de desenvolvimento e verificação das rotinas operacionais realizando a otimização no uso dos recursos disponíveis., Experiência em modelagem dimensional e modelagem de dados Star Schema. Domínio das ferramentas Microsoft SQL Server Integration Services (SSIS) e SQL Server, Analysis Services (SSAS). Experiência em Microstrategy. Experiência em programação Orientada a Objetos de snippets com .NET (C# / VB.Net). Data Warehouse / Data Mart / Modelagem Dimensional. Superior completo em Ciência da Computação, Engenharia da Computação, Sistemas de Informação ou áreas em comum. Desejável certificação em alguma das ferramentas acima.",0.2073
7,the same,the same,the same,Fullstack Developer," Atuar com GitLab, Jira, OpenShift, Docker, Ansible, além das linguagens e frameworks Python com Django e Flask, Java, C#, AngularJS, Ionic e outros., Conhecimentos em AngularJS, Typescript, HTML5, CSS3, Python 3.5+ | C# | Java | Node.js. Diferenciais: Django, DjangoREST, Rest API, Flask, Microservices, .Net Core, ASP Net MVC, Redis, RabbitMQ, MongoDB, Docker.",0.2058
8,the same,the same,the same,Consultor de Testes," Irá atuar com planejamento, preparação e execução do Teste Funcional Ferramentas de gerenciamento de teste: IBM Rational RQM e RTC; HP ALM Testes automatizados. Estimativa e planejamento de testes Oracle PL-SQL | 2 - SQL (Structured Query Language) | 3- Unix, XML | 2 - Testes de Serviços da Web (SOAP / WSDL / UDDI). Práticas Agile Team Ferramentas de automação: Apache Jmeter, Selênio, HP QTP / UFT, RFT IBM dentre outras atividades.",0.1828
9,the same,the same,the same,Windows Server Technical Support Analyst," Serve as Technical source for all company?s windows server and Storage (array/Backup) related projects/SWIs | Work on initiative or projects to meet customer and management request | Focal contact for divestment related activities within Server and Storage scope. | Consult with clients on Service Requests, Small Work Items and projects relating to XOM computing infrastructure, documenting recommendations using existing best practices for infrastructure changes | Receive and work requests to completion via the Small Work Items (SWI) process. | Interface with project managers, Operations, Customer Relationship managers and other EMIT teams as needed. | Interface with EMIT ETS Engineering for development activities and projects. | Resource for computing infrastructure projects & project engagements. | Provide L3 support to both Server and Storage operations., The ideal candidate shlould be: Graduated from college required in IT and/or Engineering courses. | The analyst must have experience in Broad Infrastructure background (i.e. servers, storage, network,) | In Depth Windows 20xx server Experience - Servers / Peripherals | High level Network understanding/experience (Routing, Switching, IP addressing, network utilization monitoring and Physical power and cabling) | Good knowledge on external storages and backups | Knowledge of Roles & Responsibilities within the EMIT organization | Fluent English | Sharp analytical skills",0.1826
